program,program_name,program_order,Patient,CellType,n_cells,mean_raw_ucell,median_raw_ucell
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","T cells CD4",131,0.0472924855070927,0.0425077106299814
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","T cells CD8",302,0.0491868018039972,0.0454087397318839
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","TFH",14,0.0544466450579988,0.0492029804256878
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","Tregs",135,0.0428049388748079,0.0388890585397136
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","B cells",462,0.0478524056332711,0.0442864995266742
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","Monocytes and Macrophages",292,0.0808229949747566,0.079587443124561
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","NK cells",17,0.0400647387546951,0.0342626805508902
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","Others",0,NA,NA
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","Plasma cells",37,0.051840523456244,0.0467371056890707
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","T cells CD4",437,0.0423923053653351,0.0400189330320335
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","T cells CD8",1605,0.0528872398194522,0.0493327633065625
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","TFH",0,NA,NA
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL008","Tregs",150,0.044830773302389,0.0408358017528323
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","B cells",496,0.0341999131661408,0.0335908632851864
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","Monocytes and Macrophages",46,0.0633015171651967,0.0594787308761108
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","NK cells",122,0.0435483515696845,0.0368736067426024
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","Others",41,0.0541334264840496,0.0509817693223806
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","Plasma cells",0,NA,NA
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","T cells CD4",966,0.0517332961323847,0.0520734723791492
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","T cells CD8",2399,0.0547522797623368,0.0543713927993404
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","TFH",72,0.0519212107640055,0.0480043973493755
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL111","Tregs",258,0.0528840679648032,0.0525162610315449
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","B cells",1651,0.0677301375039149,0.0154517971111857
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","Monocytes and Macrophages",214,0.00796991034921084,0
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","NK cells",69,0.0127468253536224,0
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","Others",0,NA,NA
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","Plasma cells",65,0.0236329340796926,0.0224906098268544
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","T cells CD4",1720,0.0116286881596113,0.00742052707118213
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","T cells CD8",1177,0.0152782646410514,0.0101994075793203
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","TFH",209,0.0133322413989345,0.00367972638714997
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL002","Tregs",429,0.0146311735312254,0.0120163679115645
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","B cells",827,0.136408555881265,0.0594252908663389
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","Monocytes and Macrophages",15,0.00556794006575666,0
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","NK cells",5,0.0117873392982563,0.00885577304791274
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","Others",5,0.0276177970501115,0.0337435490273919
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","Plasma cells",0,NA,NA
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","T cells CD4",131,0.0190494694811505,0.0172382202949889
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","T cells CD8",302,0.0315478067148156,0.015543408556509
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","TFH",14,0.0150297300952323,0.00511497236388064
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL007","Tregs",135,0.0208594736979016,0.0158029743182582
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","B cells",462,0.13773602340494,0.0863208843558189
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","Monocytes and Macrophages",292,0.0101872763833642,0
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","NK cells",17,0.0133267708402566,0.0126729166030476
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","Others",0,NA,NA
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","Plasma cells",37,0.00907448505701781,0
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","T cells CD4",437,0.0134114683693491,0.0105963905090543
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","T cells CD8",1605,0.0292899960777363,0.0136348367789416
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","TFH",0,NA,NA
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL008","Tregs",150,0.0180763632292017,0.0112834763489785
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","B cells",496,0.0412224414548686,0.0126118423061655
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","Monocytes and Macrophages",46,0.0190385843509064,0.00106880019543776
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","NK cells",122,0.0167491253109408,0
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","Others",41,0.0344105250378549,0.0381867041255688
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","Plasma cells",0,NA,NA
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","T cells CD4",966,0.0201848338358686,0.0178107918282591
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","T cells CD8",2399,0.0218547586774159,0.0166427459003878
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","TFH",72,0.0279624851131401,0.0295981311265154
"proliferative_cycling","Proliferative / cycling program",6,"DLBCL111","Tregs",258,0.0184949186421716,0.0145356826579534
